
Line count for modsplan version 0.1:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           212       175        17
defn.py               111        83        25
grammar.py            315       257        18
parsetree.py          197       147        25
syntax.py             290       245        16
tokenize.py           386       324        16

Total (7 files)      1517      1234        19


Line count for modsplan version 0.1.1:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           250       208        17
defn.py               110        82        25
grammar.py            270       223        17
lineparsers.py        217       180        17
parsetree.py          199       149        25
syntax.py             298       252        15
tokenize.py           348       292        16

Total (8 files)      1698      1389        18


Line count for modsplan version 0.1.2:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           256       214        16
defn.py               111        86        23
grammar.py            269       222        17
lineparsers.py        217       180        17
parsetree.py          199       149        25
syntax.py             298       252        15
tokenize.py           354       298        16

Total (8 files)      1710      1404        18


Line count for modsplan version 0.1.3:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           248       207        17
defn.py               111        86        23
grammar.py            269       222        17
lineparsers.py        218       181        17
parsetree.py          200       150        25
syntax.py             320       272        15
tokenize.py           354       298        16

Total (8 files)      1726      1419        18


Line count for modsplan version 0.1.4:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           248       207        17
defn.py               111        86        23
grammar.py            271       224        17
lineparsers.py        218       181        17
parsetree.py          200       150        25
syntax.py             320       272        15
tokenize.py           355       300        15

Total (8 files)      1729      1423        18


Line count for modsplan version 0.1.5:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           249       208        16
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        213       179        16
parsetree.py          200       150        25
syntax.py             336       275        18
tokenize.py           361       297        18

Total (8 files)      1735      1414        19


Line count for modsplan version 0.1.6:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           261       218        16
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        213       179        16
parsetree.py          184       152        17
syntax.py             334       273        18
tokenize.py           369       302        18

Total (8 files)      1737      1429        18


Line count for modsplan version 0.1.7:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           251       208        17
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        214       180        16
parsetree.py          186       154        17
syntax.py             328       273        17
tokenize.py           374       306        18

Total (8 files)      1729      1426        18


Line count for modsplan version 0.1.8:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           252       209        17
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             337       277        18
tokenize.py           369       303        18

Total (8 files)      1742      1434        18


Line count for modsplan version 0.1.9:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           253       210        17
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             340       280        18
tokenize.py           369       303        18

Total (8 files)      1746      1438        18


Line count for modsplan version 0.2.0:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           251       210        16
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             344       283        18
tokenize.py           369       303        18

Total (8 files)      1748      1441        18


Line count for modsplan version 0.2.1:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           253       212        16
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             344       283        18
tokenize.py           369       303        18

Total (8 files)      1750      1443        18


Line count for modsplan version 0.2.2:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           272       221        19
defn.py               112        87        22
grammar.py            258       215        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             342       281        18
tokenize.py           369       303        18

Total (8 files)      1767      1450        18


Line count for modsplan version 0.2.3:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           287       231        20
defn.py               113        88        22
grammar.py            259       216        17
lineparsers.py        217       183        16
parsetree.py          191       157        18
syntax.py             340       279        18
tokenize.py           374       309        17

Total (8 files)      1787      1466        18


Line count for modsplan version 0.2.4:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           287       231        20
defn.py               113        88        22
grammar.py            257       214        17
lineparsers.py        244       202        17
parsetree.py          178       146        18
syntax.py             337       277        18
tokenize.py           366       304        17

Total (8 files)      1788      1465        18


Line count for modsplan version 0.2.5:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           319       259        19
defn.py               114        89        22
grammar.py            257       214        17
lineparsers.py        244       202        17
parsetree.py          179       147        18
syntax.py             337       277        18
tokenize.py           366       304        17

Total (8 files)      1822      1495        18


Line count for modsplan version 0.2.6:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           366       297        19
defn.py               114        89        22
grammar.py            257       214        17
lineparsers.py        244       202        17
parsetree.py          179       147        18
syntax.py             337       277        18
tokenize.py           366       304        17

Total (8 files)      1869      1533        18


Line count for modsplan version 0.2.7:
Filename            Lines  Nonblank   % blank

__init__.py             6         3        50
compiler.py           388       316        19
defn.py               109        84        23
grammar.py            260       217        17
lineparsers.py        244       203        17
parsetree.py          179       147        18
syntax.py             337       277        18
tokenize.py           367       304        17

Total (8 files)      1890      1551        18

